t(s)	total_voltage(V)
8830	3.9653305
8840	3.9650825
8850	3.9648345
8860	3.9645866
8870	3.9643387
8880	3.9640909
8890	3.9638432
8900	3.9635955
8910	3.9633479
8920	3.9631004
8930	3.9628529
8940	3.9626055
8950	3.9623582
8960	3.9621109
8970	3.9618637
8980	3.9616165
8990	3.9613694
9000	3.9611223
9010	3.9608753
9020	3.9606284
9030	3.9603815
9040	3.9601347
9050	3.9598879
9060	3.9596411
9070	3.9593945
9080	3.9591478
9090	3.9589013
9100	3.9586547
9110	3.9584083
9120	3.9581618
9130	3.9579155
9140	3.9576691
9150	3.9574228
9160	3.9571766
9170	3.9569304
9180	3.9566842
9190	3.9564381
9200	3.956192
9210	3.955946
9220	3.9557
9230	3.955454
9240	3.9552081
9250	3.9549622
9260	3.9547164
9270	3.9544706
9280	3.9542248
9290	3.953979
9300	3.9537333
9310	3.9534876
9320	3.953242
9330	3.9529964
9340	3.9527508
9350	3.9525052
9360	3.9522597
9370	3.9520142
9380	3.9517687
9390	3.9515232
9400	3.9512778
9410	3.9510323
9420	3.9507869
9430	3.9505416
9440	3.9502962
9450	3.9500509
9460	3.9498055
9470	3.9495602
9480	3.949315
9490	3.9490697
9500	3.9488244
9510	3.9485792
9520	3.9483339
9530	3.9480887
9540	3.9478435
9550	3.9475982
9560	3.947353
9570	3.9471078
9580	3.9468626
9590	3.9466174
9600	3.9463722
9610	3.946127
9620	3.9458818
9630	3.9456366
9640	3.9453914
9650	3.9451462
9660	3.944901
9670	3.9446558
9680	3.9444106
9690	3.9441654
9700	3.9439201
9710	3.9436749
9720	3.9434296
9730	3.9431843
9740	3.942939
9750	3.9426937
9760	3.9424484
9770	3.942203
9780	3.9419576
9790	3.9417122
9800	3.9414668
9810	3.9412213
9820	3.9409759
9830	3.9407304
9840	3.9404848
9850	3.9402392
9860	3.9399936
9870	3.939748
9880	3.9395023
9890	3.9392566
9900	3.9390109
9910	3.9387651
9920	3.9385192
9930	3.9382733
9940	3.9380274
9950	3.9377814
9960	3.9375354
9970	3.9372893
9980	3.9370431
9990	3.9367969
10000	3.9365506
10010	3.9363043
10020	3.9360579
10030	3.9358115
10040	3.935565
10050	3.9353184
10060	3.9350717
10070	3.934825
10080	3.9345782
10090	3.9343313
10100	3.9340843
10110	3.9338373
10120	3.9335901
10130	3.9333429
10140	3.9330956
10150	3.9328482
10160	3.9326007
10170	3.9323531
10180	3.9321054
10190	3.9318576
10200	3.9316097
10210	3.9313617
