t(s)	total_current(A)
63040	-0.05
63130	-0.05
63220	-0.05
63310	-0.05
63400	-0.05
63490	-0.05
63580	-0.05
63670	-0.05
63760	-0.05
63850	-0.05
63940	-0.05
64030	-0.05
64120	-0.05
64210	-0.05
64300	-0.05
64390	-0.05
64480	-0.05
64570	-0.05
64660	-0.05
64750	-0.05
64840	-0.05
64930	-0.05
65020	-0.05
65110	-0.05
65200	-0.05
65290	-0.05
65380	-0.05
65470	-0.05
65560	-0.05
65650	-0.05
65740	-0.05
65830	-0.05
65920	-0.05
66010	-0.05
66100	-0.05
66190	-0.05
66280	-0.05
66370	-0.05
66460	-0.05
66550	-0.05
66640	-0.05
66730	-0.05
66820	-0.05
66910	-0.05
67000	-0.05
67090	-0.05
67180	-0.05
67270	-0.05
67360	-0.05
67450	-0.05
67540	-0.05
67630	-0.05
67720	-0.05
67810	-0.05
67900	-0.05
67990	-0.05
68080	-0.05
68170	-0.05
68260	-0.05
68350	-0.05
68440	-0.05
68530	-0.05
68620	-0.05
68710	-0.05
68800	-0.05
68890	-0.05
68980	-0.05
69070	-0.05
69160	-0.05
69250	-0.05
69340	-0.05
69430	-0.05
69520	-0.05
69610	-0.05
69700	-0.05
69790	-0.05
69880	-0.05
69970	-0.05
70060	-0.05
70150	-0.05
70240	-0.05
70330	-0.05
70420	-0.05
70510	-0.05
70600	-0.05
70690	-0.05
70780	-0.05
70870	-0.05
70960	-0.05
71050	-0.05
71140	-0.05
71230	-0.05
71320	-0.05
71410	-0.05
71500	-0.05
71590	-0.05
71680	-0.05
71770	-0.05
71860	-0.05
71950	-0.05
72040	-0.05
72130	-0.05
72220	-0.05
72310	-0.05
72400	-0.05
72490	-0.05
72580	-0.05
72670	-0.05
72760	-0.05
72850	-0.05
72940	-0.05
73030	-0.05
73120	-0.05
73210	-0.05
73300	-0.05
73390	-0.05
73480	-0.05
73570	-0.05
73660	-0.05
73750	-0.05
73840	-0.05
73930	-0.05
74020	-0.05
74110	-0.05
74200	-0.05
74290	-0.05
74380	-0.05
74470	-0.05
74560	-0.05
74650	-0.05
74740	-0.05
74830	-0.05
74920	-0.05
75010	-0.05
75100	-0.05
75190	-0.05
75280	-0.05
75370	-0.05
75460	-0.05
75550	-0.05
75640	-0.05
75730	-0.05
75820	-0.05
75910	-0.05
76000	-0.05
76090	-0.05
76180	-0.05
76270	-0.05
76360	-0.05
76450	-0.05
76540	-0.05
76630	-0.05
76720	-0.05
76810	-0.05
76900	-0.05
76990	-0.05
77080	-0.05
77170	-0.05
77260	-0.05
77350	-0.05
77440	-0.05
77530	-0.05
77620	-0.05
77710	-0.05
77800	-0.05
77890	-0.05
77980	-0.05
78070	-0.05
78160	-0.05
78250	-0.05
78340	-0.05
78430	-0.05
78520	-0.05
78610	-0.05
78700	-0.05
78790	-0.05
78880	-0.05
78970	-0.05
79060	-0.05
79150	-0.05
79240	-0.05
79330	-0.05
79420	-0.05
79510	-0.05
79600	-0.05
79690	-0.05
79780	-0.05
79870	-0.05
79960	-0.05
80050	-0.05
80140	-0.05
80230	-0.05
80320	-0.05
80410	-0.05
80500	-0.05
80590	-0.05
80680	-0.05
80770	-0.05
80860	-0.05
80950	-0.05
81040	-0.05
81130	-0.05
81220	-0.05
81310	-0.05
81400	-0.05
81490	-0.05
81580	-0.05
81670	-0.05
81760	-0.05
81850	-0.05
81940	-0.05
82030	-0.05
82120	-0.05
82210	-0.05
82300	-0.05
82390	-0.05
82480	-0.05
82570	-0.05
82660	-0.05
82750	-0.05
82840	-0.05
82930	-0.05
83020	-0.05
83110	-0.05
83200	-0.05
83290	-0.05
83380	-0.05
83470	-0.05
83560	-0.05
83650	-0.05
83740	-0.05
83830	-0.05
83920	-0.05
84010	-0.05
84100	-0.05
84190	-0.05
84280	-0.05
84370	-0.05
84460	-0.05
84550	-0.05
84640	-0.05
84730	-0.05
84820	-0.05
84910	-0.05
85000	-0.05
85090	-0.05
85180	-0.05
85270	-0.05
85360	-0.05
85450	-0.05
85540	-0.05
85630	-0.05
85720	-0.05
85810	-0.05
85900	-0.05
85990	-0.05
86080	-0.05
86170	-0.05
86260	-0.05
86350	-0.05
86440	-0.05
86530	-0.05
86620	-0.05
86710	-0.05
86800	-0.05
86890	-0.05
86980	-0.05
87070	-0.05
87160	-0.05
87250	-0.05
87340	-0.05
87430	-0.05
87520	-0.05
87610	-0.05
87700	-0.05
87790	-0.05
87880	-0.05
87970	-0.05
88060	-0.05
88150	-0.05
88240	-0.05
88330	-0.05
88420	-0.05
88510	-0.05
88600	-0.05
88690	-0.05
88780	-0.05
88870	-0.05
88960	-0.05
89050	-0.05
89140	-0.05
89230	-0.05
89320	-0.05
89410	-0.05
89500	-0.05
89590	-0.05
89680	-0.05
89770	-0.05
89860	-0.05
89950	-0.05
90040	-0.05
90130	-0.05
90220	-0.05
90310	-0.05
90400	-0.05
90490	-0.05
90580	-0.05
90670	-0.05
90760	-0.05
90850	-0.05
90940	-0.05
91030	-0.05
91120	-0.05
91210	-0.05
91300	-0.05
91390	-0.05
91480	-0.05
91570	-0.05
91660	-0.05
91750	-0.05
91840	-0.05
91930	-0.05
92020	-0.05
92110	-0.05
92200	-0.05
92290	-0.05
92380	-0.05
92470	-0.05
92560	-0.05
92650	-0.05
92740	-0.05
92830	-0.05
92920	-0.05
93010	-0.05
93100	-0.05
93190	-0.05
93280	-0.05
93370	-0.05
93460	-0.05
93550	-0.05
93640	-0.05
93730	-0.05
93820	-0.05
93910	-0.05
94000	-0.05
94090	-0.05
94180	-0.05
94270	-0.05
94360	-0.05
94450	-0.05
94540	-0.05
94630	-0.05
94720	-0.05
94810	-0.05
94900	-0.05
94990	-0.05
95080	-0.05
95170	-0.05
95260	-0.05
95350	-0.05
95440	-0.05
95530	-0.05
95620	-0.05
95710	-0.05
95800	-0.05
95890	-0.05
95980	-0.05
96070	-0.05
96160	-0.05
96250	-0.05
96340	-0.05
96430	-0.05
96520	-0.05
96610	-0.05
96700	-0.05
96790	-0.05
96880	-0.05
96970	-0.05
97060	-0.05
97150	-0.05
97240	-0.05
97330	-0.05
97420	-0.05
97510	-0.05
97600	-0.05
97690	-0.05
97780	-0.05
97870	-0.05
97960	-0.05
98050	-0.05
98140	-0.05
98230	-0.05
98320	-0.05
98410	-0.05
98500	-0.05
98590	-0.05
98680	-0.05
98770	-0.05
98860	-0.05
98950	-0.05
99040	-0.05
99130	-0.05
99220	-0.05
99310	-0.05
99400	-0.05
99490	-0.05
99580	-0.05
99670	-0.05
99760	-0.05
99850	-0.05
99940	-0.05
100030	-0.05
100120	-0.05
100210	-0.05
100300	-0.05
100390	-0.05
100480	-0.05
100570	-0.05
100660	-0.05
100750	-0.05
100840	-0.05
100930	-0.05
101020	-0.05
101110	-0.05
101200	-0.05
101290	-0.05
101380	-0.05
101470	-0.05
101560	-0.05
101650	-0.05
101740	-0.05
101830	-0.05
101920	-0.05
102010	-0.05
102100	-0.05
102190	-0.05
102280	-0.05
102370	-0.05
102460	-0.05
102550	-0.05
102640	-0.05
102730	-0.05
102820	-0.05
102910	-0.05
103000	-0.05
103090	-0.05
103180	-0.05
103270	-0.05
103360	-0.05
103450	-0.05
103540	-0.05
103630	-0.05
103720	-0.05
103810	-0.05
103900	-0.05
103990	-0.05
104080	-0.05
104170	-0.05
104260	-0.05
104350	-0.05
104440	-0.05
104530	-0.05
104620	-0.05
104710	-0.05
104800	-0.05
104890	-0.05
104980	-0.05
105070	-0.05
105160	-0.05
105250	-0.05
105340	-0.05
105430	-0.05
105520	-0.05
105610	-0.05
105700	-0.05
105790	-0.05
105880	-0.05
105970	-0.05
106060	-0.05
106150	-0.05
106240	-0.05
106330	-0.05
106420	-0.05
106510	-0.05
106600	-0.05
106690	-0.05
106780	-0.05
106870	-0.05
106960	-0.05
107050	-0.05
107140	-0.05
107230	-0.05
107320	-0.05
107410	-0.05
107500	-0.05
107590	-0.05
107680	-0.05
107770	-0.05
107860	-0.05
107950	-0.05
108040	-0.05
108130	-0.05
108220	-0.05
108310	-0.05
108400	-0.05
108490	-0.05
108580	-0.05
108670	-0.05
108760	-0.05
108850	-0.05
108940	-0.05
109030	-0.05
109120	-0.05
109210	-0.05
109300	-0.05
109390	-0.05
109480	-0.05
109570	-0.05
109660	-0.05
109750	-0.05
109840	-0.05
109930	-0.05
110020	-0.05
110110	-0.05
110200	-0.05
110290	-0.05
110380	-0.05
110470	-0.05
110560	-0.05
110650	-0.05
110740	-0.05
110830	-0.05
110920	-0.05
111010	-0.05
