x	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=5990
99.806897	0	-0.050868603	-0.052256594	-0.05214043	-0.053740926	-0.058783135	-0.061607179	-0.056227402	-0.053585755	-0.057430169	-0.059605526	-0.062082498	-0.06463277	-0.066811133	-0.067918735	0.03802335	0.05017412	0.049079924	0.049273912	0.05089098	0.053369441	0.048349838	0.047440502	0.047049404	0.047502436	0.048703016	0.050182001	0.051629206	0.052914253	0.05398812	0.054825069	0.055389507	0.055592993	0.055280122
102.41379	0	-0.052494993	-0.053944123	-0.053834144	-0.055429873	-0.060484391	-0.063325005	-0.057938542	-0.055279914	-0.059126955	-0.061307491	-0.06379118	-0.066349132	-0.068535334	-0.069649456	0.039276523	0.051815305	0.050782527	0.05097385	0.0525919	0.055079503	0.050061764	0.049150044	0.048756277	0.049206531	0.050406589	0.051887511	0.053337594	0.054625517	0.0557018	0.056540496	0.057105908	0.057309475	0.056995566
105.02069	0	-0.054049251	-0.055578099	-0.05547497	-0.057064822	-0.062134182	-0.064992795	-0.059597784	-0.05692003	-0.060769973	-0.062956349	-0.065447421	-0.068013662	-0.070208189	-0.071329114	0.040453312	0.053388174	0.052430907	0.052621014	0.054241396	0.056740664	0.051726426	0.050811725	0.050414606	0.05086166	0.05206121	0.053544538	0.054998267	0.056289895	0.057369278	0.058210115	0.058776495	0.058979579	0.0586633
107.62759	0	-0.055533296	-0.057158525	-0.057063084	-0.058645988	-0.063732355	-0.06661026	-0.06120513	-0.058506397	-0.06235938	-0.064552156	-0.067051177	-0.069626223	-0.071829488	-0.072957456	0.041557508	0.054895213	0.054026568	0.054216752	0.055840684	0.058353911	0.053344679	0.052426455	0.052025364	0.052468834	0.05366788	0.055154034	0.056612108	0.057908207	0.058991333	0.059834692	0.06040206	0.06060418	0.060284389
110.23448	0	-0.056949102	-0.058685204	-0.058598444	-0.060173391	-0.065278581	-0.068176927	-0.062760376	-0.060039089	-0.063895143	-0.066094781	-0.068602221	-0.071186504	-0.073398846	-0.074534057	0.04259274	0.056338588	0.055570732	0.055762145	0.057390722	0.059919987	0.054917133	0.053994897	0.053589275	0.054028811	0.055227352	0.056716708	0.058179763	0.05948104	0.06056851	0.06141476	0.061983156	0.062183908	0.061859626
112.84138	0	-0.058298651	-0.060157769	-0.060080811	-0.061646873	-0.066772381	-0.069692162	-0.06426313	-0.061517985	-0.065377058	-0.067583933	-0.070100171	-0.072694036	-0.074915728	-0.076058339	0.04356248	0.057720176	0.057064347	0.057258009	0.05889221	0.061439392	0.056444158	0.055517467	0.055106814	0.055542101	0.056740134	0.058233027	0.059701641	0.061008746	0.062101122	0.062950615	0.063520097	0.063719141	0.063389536
115.44828	0	-0.059583877	-0.061575715	-0.061509779	-0.063066129	-0.068213146	-0.071155191	-0.065712842	-0.062942795	-0.066804774	-0.069019176	-0.071544507	-0.074148217	-0.076379464	-0.077529589	0.044470053	0.059041582	0.058508091	0.058704898	0.060345595	0.062912382	0.057925874	0.056994333	0.056578199	0.057008959	0.058206481	0.059703213	0.061177907	0.062491435	0.063589238	0.064442311	0.06501295	0.065210005	0.064874371
118.05517	0	-0.060806606	-0.06293842	-0.062884794	-0.06443072	-0.06960015	-0.072565115	-0.067108821	-0.064313083	-0.068177814	-0.070399952	-0.072934586	-0.075548328	-0.077789266	-0.078946976	0.045318639	0.060304167	0.059902372	0.060103104	0.061751063	0.064338957	0.059362151	0.058425405	0.058003396	0.058429385	0.059626395	0.061127235	0.062608478	0.063928968	0.06503268	0.065889651	0.066461528	0.066656367	0.066314112
120.66207	0	-0.061968514	-0.064245178	-0.064205174	-0.065740095	-0.070932571	-0.073920934	-0.068450254	-0.065628288	-0.069495586	-0.071725597	-0.074269665	-0.076893546	-0.079144247	-0.080309568	0.046111269	0.061509058	0.061247327	0.061452653	0.063108542	0.065718862	0.060752597	0.059810336	0.059382107	0.059803116	0.060999619	0.062504805	0.063993013	0.06532095	0.066431009	0.067292175	0.06786538	0.06805782	0.067708459
123.26897	0	-0.063071092	-0.065495218	-0.065470133	-0.066993605	-0.072209505	-0.075221558	-0.069736229	-0.066887739	-0.070757408	-0.072995353	-0.07554891	-0.078182965	-0.080443434	-0.081616349	0.046850822	0.062657168	0.062542825	0.062753306	0.064417693	0.067051571	0.062096553	0.061148507	0.060713766	0.061129625	0.062325629	0.063835371	0.065330907	0.066666719	0.067783517	0.068649152	0.069223778	0.069413683	0.069056823
